person	position	declaration_year	source_type	point_code	point_title	declarer/family	content	Sum1_property	Sum2_leasing	Name_of_country	Name_of_currency	Sum3_income_in_currency	block	additional_information	decl_section	
Шурма Ігор Михайлович		2014			дарунки, призи, виграші	сім'я	12500								Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2014			страхові виплати, страхові відшкодування, викупні суми та пенсійні виплати, що сплачені декларанту за договором страхування, недержавного пенсійного забезпечення та пенсійного вкладу	сім'я	20468								Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2014			дохід від відчуження рухомого та нерухомого майна	декларант	2250000								Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2014			дохід від провадження підприємницької та незалежної професійної діяльності	сім'я	432000								Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2014			дохід від передачі в оренду (строкове володіння та/або користування) майна	декларант	15600,00							15600,00	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2014			Квартири	декларант	95 							95 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2014			Квартири	декларант	143 							143 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2014			Гаражі	декларант	15,0 							15,0 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2014			Гаражі	декларант	17,5 							17,5 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2014			Інше нерухоме майно	декларант	168 							168 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2014			Квартири	сім'я	97 							97 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2014			Інше нерухоме майно	сім'я	38 							38 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2014			Автомобілі легкові	сім'я	Toyota Highlander GV-подібна, 3456 ,201/6200, 4785 , 2011 р.в.								Розділ IV. Відомості про транспортні засоби
Шурма Ігор Михайлович		2014			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	2400 000 							2400 000 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Шурма Ігор Михайлович		2014			вкладених у звітному році	декларант	2400 000 							2400 000 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Шурма Ігор Михайлович		2014			Сума коштів на рахунках у банках та інших фінансових установах	сім'я	2500000 							2500000 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Шурма Ігор Михайлович		2014			Добровільне страхування	декларант	12800 							12800 	Розділ VI. Відомості про фінансові зобов'язання 
Шурма Ігор Михайлович		2014			Утримання зазначеного у розділах III-V майна	декларант	34000 							34000 	Розділ VI. Відомості про фінансові зобов'язання 
Шурма Ігор Михайлович		2014			Добровільне страхування	сім'я	12800 							12800 	Розділ VI. Відомості про фінансові зобов'язання 
Шурма Ігор Михайлович		2014			Утримання зазначеного у розділах III-V майна	сім'я	17000 							17000 	Розділ VI. Відомості про фінансові зобов'язання 
Шурма Ігор Михайлович		2013			Член сім`ї декларанта		Дружина, Шурма М.М.								Розділ I. Загальні відомості
Шурма Ігор Михайлович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	172 412							172 412	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	609 850							609 850	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	67 280							67 280	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			дохід від викладацької, наукової і творчої діяльності, медичної практики, інструкторської та суддівської практики із спорту	декларант	8 700							 Харківський національний медичний інститут * *(назва закладу, установи тощо, в яких (нараховано) зазначені у цій позиціїї доходи)	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			дивіденти, проценти	декларант	83 232							83 232	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			дивіденти, проценти	сім'я	121 380							121 380	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			страхові виплати, страхові відшкодування, викупні суми та пенсійні виплати, що сплачені декларанту за договором страхування, недержавного пенсійного забезпечення та пенсійного вкладу	сім'я	20 470							20 470	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			дохід від провадження підприємницької та незалежної професійної діяльності	сім'я	468 000							468 000	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			дохід від передачі в оренду (строкове володіння та/або користування) майна	декларант	13 200							13 200	Розділ II. Відомості про доходи
Шурма Ігор Михайлович		2013			Квартири	декларант	95 							95 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Квартири	декларант	118 							118 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Квартири	декларант	143 							143 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Гаражі	декларант	15,0 (парковочне місце) 							15,0 (парковочне місце) 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Гаражі	декларант	17,5 (парковочне місце) 							17,5 (парковочне місце) 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Інше нерухоме майно	декларант	168 							168 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Квартири	сім'я	97 							97 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Інше нерухоме майно	сім'я	38 							38 	Розділ III. Відомості про нерухоме майно
Шурма Ігор Михайлович		2013			Автомобілі легкові	сім'я	Toyota Highlander GV-подібна, 3456 ,201/6200, 4785 , 2011 р.в.								Розділ IV. Відомості про транспортні засоби
Шурма Ігор Михайлович		2013			Сума коштів на рахунках у банках та інших фінансових установах	сім'я	2 062 905 							2 062 905 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Шурма Ігор Михайлович		2013			Добровільне страхування	декларант	8 000 							8 000 	Розділ VI. Відомості про фінансові зобов'язання 
Шурма Ігор Михайлович		2013			Добровільне страхування	сім'я	8 000 							8 000 	Розділ VI. Відомості про фінансові зобов'язання 
Ванат Петро Михайлович		2014			Член сім`ї декларанта		дружина, Ванат  Л.О.								Розділ I. Загальні відомості
Ванат Петро Михайлович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	120 664							120 664	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	29 910							29 910	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	12994								Розділ II. Відомості про доходи
Ванат Петро Михайлович		2014			інші види доходів (не зазначені у позиціях 6-19)	декларант	107 670							107 670	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2014			інші види доходів (не зазначені у позиціях 6-19)	сім'я	29 910							29 910	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2014			Квартири	декларант	168 							168 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2014			Гаражі	декларант	20 							20 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2014			Земельні ділянки	сім'я	900 							900 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2014			Житлові будинки	сім'я	230 							230 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2014			Автомобілі легкові	декларант	Audi Q5; 1984 куб.см; 155 кВт; 463 см , 2010 р.в.								Розділ IV. Відомості про транспортні засоби
Ванат Петро Михайлович		2014			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	1 285 380 							1 285 380 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Ванат Петро Михайлович		2014			Сума коштів на рахунках у банках та інших фінансових установах	сім'я	449 750 							449 750 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Ванат Петро Михайлович		2014			Добровільне страхування	декларант	5.417 							5.417 	Розділ VI. Відомості про фінансові зобов'язання 
Ванат Петро Михайлович		2013			Член сім`ї декларанта		Дружина, Ванат Л.О.								Розділ I. Загальні відомості
Ванат Петро Михайлович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	125 312							125 312	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	28 126							28 126	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	18 000							18 000	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2013			інші види доходів (не зазначені у позиціях 6-19)	декларант	107 312							107 312	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2013			інші види доходів (не зазначені у позиціях 6-19)	сім'я	28 126							28 126	Розділ II. Відомості про доходи
Ванат Петро Михайлович		2013			Квартири	декларант	168 							168 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2013			Гаражі	декларант	20 							20 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2013			Земельні ділянки	сім'я	900 							900 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2013			Житлові будинки	сім'я	230 							230 	Розділ III. Відомості про нерухоме майно
Ванат Петро Михайлович		2013			Автомобілі легкові	декларант	Ауді Q5, 1984 куб.см, 155 кВт, 467 см , 2010 р.в.								Розділ IV. Відомості про транспортні засоби
Ванат Петро Михайлович		2013			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	584 011 							584 011 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Ванат Петро Михайлович		2013			вкладених у звітному році	декларант	521 127 							521 127 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Ванат Петро Михайлович		2013			Номінальна вартість цінних паперів, у т.ч.:	декларант	62 884 							62 884 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Ванат Петро Михайлович		2013			Сума коштів на рахунках у банках та інших фінансових установах	сім'я	213 254 							213 254 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Ванат Петро Михайлович		2013			Номінальна вартість цінних паперів	сім'я	40 004 							40 004 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Ванат Петро Михайлович		2013			Добровільне страхування	сім'я	35 837 							35 837 	Розділ VI. Відомості про фінансові зобов'язання 
Величкович Микола Романович		2014			Член сім`ї декларанта		Дружина, Величкович Н.П.								Розділ I. Загальні відомості
Величкович Микола Романович		2014			Член сім`ї декларанта		Донька, Величкович В.М								Розділ I. Загальні відомості
Величкович Микола Романович		2014			Член сім`ї декларанта		Донька, Величкович О.М.								Розділ I. Загальні відомості
Величкович Микола Романович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	138795								Розділ II. Відомості про доходи
Величкович Микола Романович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	52106								Розділ II. Відомості про доходи
Величкович Микола Романович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	119789								Розділ II. Відомості про доходи
Величкович Микола Романович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	18702								Розділ II. Відомості про доходи
Величкович Микола Романович		2014			дохід від викладацької, наукової і творчої діяльності, медичної практики, інструкторської та суддівської практики із спорту	декларант	13910							 Львівський державний університет фізичної культури * *(назва закладу, установи тощо, в яких (нараховано) зазначені у цій позиціїї доходи)	Розділ II. Відомості про доходи
Величкович Микола Романович		2014			матеріальна допомога	сім'я	1678								Розділ II. Відомості про доходи
Величкович Микола Романович		2014			дарунки, призи, виграші	декларант	5096								Розділ II. Відомості про доходи
Величкович Микола Романович		2014			інші види доходів (не зазначені у позиціях 6-19)	сім'я	31726								Розділ II. Відомості про доходи
Величкович Микола Романович		2014			Земельні ділянки	декларант	610 							610 	Розділ III. Відомості про нерухоме майно
Величкович Микола Романович		2014			Квартири	декларант	62,3 							62,3 	Розділ III. Відомості про нерухоме майно
Величкович Микола Романович		2014			Автомобілі легкові	декларант	ВАЗ-2106; 1,3 куб.см , 1988 р.в.								Розділ IV. Відомості про транспортні засоби
Величкович Микола Романович		2014			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	5000 							5000 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Величкович Микола Романович		2014			Номінальна вартість цінних паперів, у т.ч.:	декларант	5,25 							5,25 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Величкович Микола Романович		2014			Утримання зазначеного у розділах III-V майна	декларант	8760 							8760 	Розділ VI. Відомості про фінансові зобов'язання 
Величкович Микола Романович		2014			Погашення основної суми позики (кредиту)	декларант	2000 							2000 	Розділ VI. Відомості про фінансові зобов'язання 
Величкович Микола Романович		2013			Член сім`ї декларанта		Дружина, Величкович Н.П.								Розділ I. Загальні відомості
Величкович Микола Романович		2013			Член сім`ї декларанта		Донька, Величкович В.М.								Розділ I. Загальні відомості
Величкович Микола Романович		2013			Член сім`ї декларанта		Донька, Величкович О.М.								Розділ I. Загальні відомості
Величкович Микола Романович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	54503,00							54503,00	Розділ II. Відомості про доходи
Величкович Микола Романович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	48717								Розділ II. Відомості про доходи
Величкович Микола Романович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	54503								Розділ II. Відомості про доходи
Величкович Микола Романович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	48717								Розділ II. Відомості про доходи
Величкович Микола Романович		2013			Земельні ділянки	декларант	0,061 (даравана мамою) 							0,061 (даравана мамою) 	Розділ III. Відомості про нерухоме майно
Величкович Микола Романович		2013			Квартири	декларант	62,3 кв.м 	94696,0 (кредит) 						62,3 кв.м 	Розділ III. Відомості про нерухоме майно
Величкович Микола Романович		2013			Автомобілі легкові	декларант	ВАЗ-2106, 1,3 куб.см (спадщина) , 1988 р.в.								Розділ IV. Відомості про транспортні засоби
Величкович Микола Романович		2013			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	5000,00 							5000,00 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Величкович Микола Романович		2013			Номінальна вартість цінних паперів, у т.ч.:	декларант	5,25 							5,25 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Величкович Микола Романович		2013			Утримання зазначеного у розділах III-V майна	декларант	8760,00 							8760,00 	Розділ VI. Відомості про фінансові зобов'язання 
Величкович Микола Романович		2013			Погашення основної суми позики (кредиту)	декларант	2600,00 							2600,00 	Розділ VI. Відомості про фінансові зобов'язання 
Льовочкін Сергій Володимирович		2014			Член сім`ї декларанта		син, Льовочкін О.С.								Розділ I. Загальні відомості
Льовочкін Сергій Володимирович		2014			Член сім`ї декларанта		донька, Льовочкіна О.С.								Розділ I. Загальні відомості
Льовочкін Сергій Володимирович		2014			Член сім`ї декларанта		син, Льовочкін В.С.								Розділ I. Загальні відомості
Льовочкін Сергій Володимирович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	10 244 092							10 244 092	Розділ II. Відомості про доходи
Льовочкін Сергій Володимирович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	116 902							116 902	Розділ II. Відомості про доходи
Льовочкін Сергій Володимирович		2014			дивіденти, проценти	декларант	10 127 190							10 127 190	Розділ II. Відомості про доходи
Льовочкін Сергій Володимирович		2014			Квартири	декларант	178,5 							178,5 	Розділ III. Відомості про нерухоме майно
Льовочкін Сергій Володимирович		2014			Інше нерухоме майно	декларант	682,56 		1187941 					682,56 	Розділ III. Відомості про нерухоме майно
Льовочкін Сергій Володимирович		2014			Автомобілі легкові	декларант	Mercedes-Benz S 600, 5513 , 2010 р.в.								Розділ IV. Відомості про транспортні засоби
Льовочкін Сергій Володимирович		2014			Інші засоби	декларант	Мотоцикл Boom Low Rider,1596 , 2008 р.в.								Розділ IV. Відомості про транспортні засоби
Льовочкін Сергій Володимирович		2014			Інші засоби	декларант	Мотоцикл Harley Devidson, 1690 , 2011 р.в.								Розділ IV. Відомості про транспортні засоби
Льовочкін Сергій Володимирович		2014			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	"19 718 001 (у т.ч. 19184243 - АБ ""Клір. Дім"", 18821 - ПАТ ""ДБ ""Сбербанк Росії"", 165432 - Держ. ""Ощадбанк України"", 330115 - ПУМБ, 259 -""Надра"", 19131Держ ""Експ-Імп. Банк"") "							"19 718 001 (у т.ч. 19184243 - АБ ""Клір. Дім"", 18821 - ПАТ ""ДБ ""Сбербанк Росії"", 165432 - Держ. ""Ощадбанк України"", 330115 - ПУМБ, 259 -""Надра"", 19131Держ ""Експ-Імп. Банк"") "	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2014			вкладених у звітному році	декларант	"15 537 096 ( у т.ч. 14649796 - АБ ""Клір.Дім"", 887300 - Держ. Ощадбанк) "							"15 537 096 ( у т.ч. 14649796 - АБ ""Клір.Дім"", 887300 - Держ. Ощадбанк) "	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2014			Номінальна вартість цінних паперів, у т.ч.:	декларант	"236 686 051 ( у т.ч.  236 686 026 -Oskaro Investments Limited, 25- ВАТ ""Укртелеком"") "							"236 686 051 ( у т.ч.  236 686 026 -Oskaro Investments Limited, 25- ВАТ ""Укртелеком"") "	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2014			Номінальна вартість цінних паперів, у т.ч.:закордоном	декларант	236 686 026  -Oskaro Investments Limited 							236 686 026  -Oskaro Investments Limited 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2014			Утримання зазначеного у розділах III-V майна	декларант	194 718 ( у т.ч. 106 990 - ІТС Україна, 71 763 - УДСО ГУ МВС, 15 965 - комун. платежі) 							194 718 ( у т.ч. 106 990 - ІТС Україна, 71 763 - УДСО ГУ МВС, 15 965 - комун. платежі) 	Розділ VI. Відомості про фінансові зобов'язання 
Льовочкін Сергій Володимирович		2014			Інші не зазначені у розділах III-V витрати	декларант	1 198 950 - УДКСУ у Печ. р-ні 							1 198 950 - УДКСУ у Печ. р-ні 	Розділ VI. Відомості про фінансові зобов'язання 
Льовочкін Сергій Володимирович		2013			Член сім`ї декларанта		син, Льовочкін О.С.								Розділ I. Загальні відомості
Льовочкін Сергій Володимирович		2013			Член сім`ї декларанта		донька, Льовочкіна О.С.								Розділ I. Загальні відомості
Льовочкін Сергій Володимирович		2013			Член сім`ї декларанта		син, Льовочкін В.С.								Розділ I. Загальні відомості
Льовочкін Сергій Володимирович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	24628048								Розділ II. Відомості про доходи
Льовочкін Сергій Володимирович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	317622								Розділ II. Відомості про доходи
Льовочкін Сергій Володимирович		2013			дивіденти, проценти	декларант	24310378								Розділ II. Відомості про доходи
Льовочкін Сергій Володимирович		2013			інші види доходів (не зазначені у позиціях 6-19)	декларант	48								Розділ II. Відомості про доходи
Льовочкін Сергій Володимирович		2013			Квартири	декларант	178.5 							178.5 	Розділ III. Відомості про нерухоме майно
Льовочкін Сергій Володимирович		2013			Автомобілі легкові	декларант	Mercedes-Benz S 600, 5513 , 2010 р.в.								Розділ IV. Відомості про транспортні засоби
Льовочкін Сергій Володимирович		2013			Інші засоби	декларант	Мотоцикл Boom Low Rider 1596 , 2008 р.в.								Розділ IV. Відомості про транспортні засоби
Льовочкін Сергій Володимирович		2013			Інші засоби	декларант	Мотоцикл Harley Devidson 1690 , 2011 р.в.								Розділ IV. Відомості про транспортні засоби
Льовочкін Сергій Володимирович		2013			Сума коштів на рахунках у банках та інших фінансових установах, у т.ч.:	декларант	25594038 							25594038 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2013			вкладених у звітному році	декларант	33180876 							33180876 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2013			Номінальна вартість цінних паперів, у т.ч.:	декларант	119974923 							119974923 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2013			Номінальна вартість цінних паперів, у т.ч.:закордоном	декларант	119974898 							119974898 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Льовочкін Сергій Володимирович		2013			Утримання зазначеного у розділах III-V майна	декларант	74315 							74315 	Розділ VI. Відомості про фінансові зобов'язання 
Льовочкін Сергій Володимирович		2013			Інші не зазначені у розділах III-V витрати	декларант	530865 							530865 	Розділ VI. Відомості про фінансові зобов'язання 
Лінько Дмитро Володимирович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	49 527							49 527	Розділ II. Відомості про доходи
Лінько Дмитро Володимирович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	49 527							49 527	Розділ II. Відомості про доходи
Лінько Дмитро Володимирович		2014			Автомобілі легкові	декларант	Peugeot 407; 2,2 , 2008 р.в.								Розділ IV. Відомості про транспортні засоби
Лінько Дмитро Володимирович		2014			Автомобілі легкові	декларант	Cherry Jaggi; 1,3 , 2008 р.в.								Розділ IV. Відомості про транспортні засоби
Лінько Дмитро Володимирович		2013			Автомобілі легкові	декларант	Cherry Jaggi, 1,3 , 2008 р.в.								Розділ IV. Відомості про транспортні засоби
Іщенко Валерій Олександрович		2014			Член сім`ї декларанта		дружина, Іщенко М.Г.								Розділ I. Загальні відомості
Іщенко Валерій Олександрович		2014			Член сім`ї декларанта		донька, Іщенко В.В.								Розділ I. Загальні відомості
Іщенко Валерій Олександрович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	176362								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2014			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	48438								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	176362								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2014			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	48438								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2014			Квартири	декларант	128,4 							128,4 	Розділ III. Відомості про нерухоме майно
Іщенко Валерій Олександрович		2014			Квартири	декларант	77,4 							77,4 	Розділ III. Відомості про нерухоме майно
Іщенко Валерій Олександрович		2014			Інше нерухоме майно	декларант	12,6 							12,6 	Розділ III. Відомості про нерухоме майно
Іщенко Валерій Олександрович		2014			Інше нерухоме майно	декларант	12,6 							12,6 	Розділ III. Відомості про нерухоме майно
Іщенко Валерій Олександрович		2014			Квартири	сім'я	1/6 від 89,2 							1/6 від 89,2 	Розділ III. Відомості про нерухоме майно
Іщенко Валерій Олександрович		2014			Автомобілі легкові	сім'я	Mercedes Benz ML 350; 3498 , 2007 р.в.								Розділ IV. Відомості про транспортні засоби
Іщенко Валерій Олександрович		2014			Розмір внесків до статутного (складеного) капіталу товариства, підприємства, організації	сім'я	12000 							12000 	Розділ V. Відомості про вклади в банках, цінні папери та інші активи
Іщенко Валерій Олександрович		2014			Утримання зазначеного у розділах III-V майна	декларант	84924 							84924 	Розділ VI. Відомості про фінансові зобов'язання 
Іщенко Валерій Олександрович		2013			Член сім`ї декларанта		дружина, Іщенко М.Г.								Розділ I. Загальні відомості
Іщенко Валерій Олександрович		2013			Член сім`ї декларанта		дочка, Іщенко В.В.								Розділ I. Загальні відомості
Іщенко Валерій Олександрович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	декларант	369141								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2013			Загальна сума сукупного доходу, гривні, у т. ч.:	сім'я	43200								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	декларант	239206								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2013			заробітна плата, інші виплати та винагороди, нараховані (виплачені) декларанту відповідно до умов трудового або цивільно-правового договору (крім виплат, зазначених у позиціях 7,8)	сім'я	43200								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2013			дохід від відчуження рухомого та нерухомого майна	декларант	129935								Розділ II. Відомості про доходи
Іщенко Валерій Олександрович		2013			Одержані (нараховані) з джерел за межами України	декларант	129935			Російська Федерація	назву валюти не зазначено	500000			Розділ II. Відомості про доходи
